168.ari,MAYBE,0.016,168.txt.gz
802.ari,MAYBE,0.018,802.txt.gz
244.ari,MAYBE,0.016,244.txt.gz
40.ari,YES,0.038,40.txt.gz
796.ari,MAYBE,0.018,796.txt.gz
882.ari,MAYBE,0.018,882.txt.gz
16.ari,MAYBE,0.021,16.txt.gz
71.ari,MAYBE,0.017,71.txt.gz
809.ari,MAYBE,0.019,809.txt.gz
202.ari,NO,0.028,202.txt.gz
445.ari,MAYBE,0.021,445.txt.gz
177.ari,MAYBE,0.016,177.txt.gz
140.ari,MAYBE,0.017,140.txt.gz
1607.ari,NO,0.078,1607.txt.gz
565.ari,YES,0.019,565.txt.gz
581.ari,NO,0.067,581.txt.gz
1621.ari,MAYBE,0.019,1621.txt.gz
201.ari,MAYBE,0.019,201.txt.gz
32.ari,MAYBE,0.016,32.txt.gz
136.ari,MAYBE,0.017,136.txt.gz
396.ari,MAYBE,0.029,396.txt.gz
465.ari,MAYBE,0.018,465.txt.gz
880.ari,MAYBE,0.016,880.txt.gz
1006.ari,MAYBE,0.018,1006.txt.gz
227.ari,MAYBE,0.022,227.txt.gz
238.ari,MAYBE,0.017,238.txt.gz
434.ari,MAYBE,0.018,434.txt.gz
828.ari,MAYBE,0.026,828.txt.gz
864.ari,MAYBE,0.018,864.txt.gz
867.ari,MAYBE,0.019,867.txt.gz
1008.ari,MAYBE,0.016,1008.txt.gz
151.ari,MAYBE,0.018,151.txt.gz
442.ari,MAYBE,0.017,442.txt.gz
197.ari,MAYBE,0.017,197.txt.gz
211.ari,MAYBE,0.017,211.txt.gz
54.ari,MAYBE,0.016,54.txt.gz
981.ari,MAYBE,0.017,981.txt.gz
131.ari,MAYBE,0.017,131.txt.gz
1622.ari,MAYBE,0.021,1622.txt.gz
192.ari,MAYBE,0.018,192.txt.gz
806.ari,MAYBE,0.019,806.txt.gz
209.ari,MAYBE,0.017,209.txt.gz
25.ari,MAYBE,0.019,25.txt.gz
60.ari,MAYBE,0.019,60.txt.gz
641.ari,NO,3.957,641.txt.gz
852.ari,MAYBE,0.017,852.txt.gz
82.ari,MAYBE,0.016,82.txt.gz
186.ari,MAYBE,0.020,186.txt.gz
793.ari,MAYBE,0.018,793.txt.gz
861.ari,MAYBE,0.015,861.txt.gz
1497.ari,MAYBE,0.018,1497.txt.gz
829.ari,MAYBE,0.019,829.txt.gz
94.ari,MAYBE,0.017,94.txt.gz
70.ari,MAYBE,0.016,70.txt.gz
78.ari,MAYBE,0.017,78.txt.gz
854.ari,MAYBE,0.017,854.txt.gz
839.ari,MAYBE,0.017,839.txt.gz
430.ari,NO,0.139,430.txt.gz
499.ari,MAYBE,0.018,499.txt.gz
878.ari,MAYBE,0.026,878.txt.gz
443.ari,MAYBE,0.015,443.txt.gz
623.ari,NO,0.027,623.txt.gz
230.ari,MAYBE,0.019,230.txt.gz
561.ari,YES,0.027,561.txt.gz
135.ari,MAYBE,0.022,135.txt.gz
51.ari,MAYBE,0.014,51.txt.gz
147.ari,MAYBE,0.018,147.txt.gz
478.ari,MAYBE,0.026,478.txt.gz
488.ari,MAYBE,0.019,488.txt.gz
508.ari,MAYBE,0.018,508.txt.gz
109.ari,YES,0.068,109.txt.gz
144.ari,MAYBE,0.018,144.txt.gz
200.ari,MAYBE,0.017,200.txt.gz
578.ari,NO,0.026,578.txt.gz
108.ari,MAYBE,0.019,108.txt.gz
37.ari,MAYBE,0.016,37.txt.gz
604.ari,NO,0.048,604.txt.gz
866.ari,MAYBE,0.016,866.txt.gz
242.ari,MAYBE,0.018,242.txt.gz
557.ari,YES,0.023,557.txt.gz
805.ari,MAYBE,0.028,805.txt.gz
821.ari,MAYBE,0.018,821.txt.gz
863.ari,MAYBE,0.031,863.txt.gz
92.ari,MAYBE,0.021,92.txt.gz
245.ari,MAYBE,0.019,245.txt.gz
486.ari,MAYBE,0.015,486.txt.gz
836.ari,MAYBE,0.017,836.txt.gz
150.ari,MAYBE,0.018,150.txt.gz
500.ari,MAYBE,0.027,500.txt.gz
123.ari,MAYBE,0.020,123.txt.gz
450.ari,MAYBE,0.018,450.txt.gz
224.ari,MAYBE,0.019,224.txt.gz
398.ari,MAYBE,0.017,398.txt.gz
560.ari,NO,0.128,560.txt.gz
42.ari,MAYBE,0.017,42.txt.gz
599.ari,YES,0.097,599.txt.gz
83.ari,YES,0.027,83.txt.gz
601.ari,YES,0.026,601.txt.gz
97.ari,MAYBE,0.018,97.txt.gz
463.ari,MAYBE,0.020,463.txt.gz
